Age,Gender,Weight_kg,Height_m,Max_BPM,Avg_BPM,Resting_BPM,Session_Duration_hours,Calories_Burned,Workout_Type,Fat_Percentage,Water_Intake_liters,Workout_Frequency_days_per_week,Experience_Level,BMI
22.0,Female,71.0,1.68,206.0,139.0,67.0,0.89,417.0,Tennis,26.7,2.3,3,Advanced,25.1
18.0,Female,98.7,1.75,210.0,146.0,67.0,0.84,536.0,Running,40.0,3.0,4,Intermediate,32.4
54.0,Female,56.5,1.64,167.0,115.0,70.0,0.96,373.0,Running,23.3,1.9,5,Advanced,20.9
34.0,Male,101.6,1.82,183.0,140.0,73.0,0.57,559.0,CrossFit,21.2,2.9,4,Intermediate,30.7
53.0,Male,62.4,1.71,160.0,124.0,74.0,0.77,520.0,Running,18.3,2.2,4,Intermediate,21.3
57.0,Female,49.4,1.6,162.0,109.0,66.0,0.81,262.0,Running,20.4,2.0,4,Advanced,19.4
21.0,Male,58.3,1.72,198.0,120.0,71.0,1.01,255.0,Yoga,6.3,2.3,4,Advanced,19.7
40.0,Male,70.9,1.72,186.0,143.0,68.0,0.63,397.0,Rowing,18.0,2.4,4,Intermediate,24.1
54.0,Female,48.4,1.5,163.0,134.0,74.0,0.58,300.0,Running,30.6,1.9,2,Beginner,21.5
30.0,Male,60.5,1.72,191.0,128.0,64.0,0.67,304.0,Aerobics,16.7,2.1,4,Intermediate,20.4
34.0,Female,75.7,1.74,180.0,136.0,82.0,0.55,287.0,Strength Training,28.2,2.3,4,Beginner,25.0
23.0,Female,52.8,1.69,201.0,155.0,67.0,0.62,334.0,Rowing,18.4,2.0,4,Intermediate,18.5
26.0,Female,61.9,1.62,188.0,156.0,87.0,0.5,318.0,HIIT,27.4,1.9,5,Beginner,23.6
40.0,Male,69.6,1.76,175.0,108.0,70.0,1.04,375.0,Yoga,15.1,2.4,5,Advanced,22.4
40.0,Female,85.2,1.75,180.0,128.0,74.0,0.74,446.0,Strength Training,34.4,2.7,2,Beginner,27.9
41.0,Male,67.1,1.72,172.0,136.0,73.0,0.64,427.0,CrossFit,14.3,2.3,4,Intermediate,22.6
30.0,Female,92.3,1.73,196.0,117.0,69.0,0.65,258.0,Yoga,34.2,2.8,4,Intermediate,30.9
31.0,Male,56.8,1.67,194.0,141.0,78.0,0.51,226.0,Tennis,15.0,2.0,3,Beginner,20.3
19.0,Female,67.1,1.63,192.0,116.0,75.0,0.69,245.0,Walking,29.1,2.2,4,Intermediate,25.1
30.0,Female,48.4,1.52,199.0,147.0,83.0,0.58,202.0,Aerobics,28.2,1.8,4,Beginner,20.9
28.0,Female,86.4,1.63,193.0,122.0,75.0,0.64,273.0,Yoga,40.0,2.5,3,Beginner,32.6
23.0,Female,78.7,1.69,192.0,156.0,70.0,0.51,413.0,Rowing,35.7,2.5,3,Beginner,27.7
29.0,Female,75.9,1.69,194.0,118.0,63.0,0.7,232.0,Yoga,31.5,2.3,4,Intermediate,26.6
18.0,Female,51.1,1.66,205.0,170.0,71.0,0.73,400.0,Running,19.3,1.9,4,Beginner,18.5
48.0,Male,73.6,1.82,174.0,122.0,72.0,0.71,352.0,Soccer,17.5,2.2,3,Intermediate,22.1
38.0,Female,81.1,1.71,189.0,154.0,74.0,0.59,449.0,CrossFit,35.2,2.5,4,Intermediate,27.6
40.0,Female,64.8,1.59,185.0,123.0,63.0,0.65,271.0,Running,29.5,2.1,4,Intermediate,25.8
20.0,Male,59.2,1.78,193.0,145.0,77.0,0.52,221.0,Running,12.1,1.9,2,Beginner,18.6
26.0,Female,63.0,1.72,187.0,107.0,71.0,0.9,306.0,Walking,22.6,2.2,2,Intermediate,21.4
30.0,Female,75.2,1.62,200.0,119.0,58.0,1.13,418.0,Pilates,32.2,2.5,2,Advanced,28.7
36.0,Female,59.0,1.65,185.0,149.0,71.0,0.51,287.0,HIIT,28.9,2.2,2,Beginner,21.6
42.0,Male,74.6,1.88,171.0,127.0,73.0,0.58,321.0,Soccer,16.5,2.5,3,Beginner,21.0
28.0,Female,62.2,1.71,198.0,127.0,72.0,0.6,211.0,Walking,24.0,2.1,5,Beginner,21.3
45.0,Male,74.7,1.69,168.0,131.0,76.0,0.62,513.0,CrossFit,22.5,2.3,4,Intermediate,26.0
30.0,Male,83.2,1.74,198.0,149.0,69.0,1.0,723.0,Rowing,15.6,2.4,4,Advanced,27.3
20.0,Male,87.8,1.74,202.0,151.0,77.0,0.56,322.0,Strength Training,24.2,2.5,2,Beginner,29.1
47.0,Male,76.5,1.72,175.0,104.0,67.0,1.02,410.0,Pilates,19.1,2.3,5,Advanced,25.7
24.0,Male,78.8,1.8,194.0,123.0,82.0,0.53,217.0,Pilates,18.5,2.2,3,Beginner,24.2
18.0,Male,79.5,1.78,210.0,161.0,74.0,0.86,692.0,Cycling,17.9,2.4,5,Intermediate,25.2
18.0,Female,90.0,1.78,206.0,162.0,69.0,0.71,470.0,Running,36.4,2.5,4,Beginner,28.4
38.0,Female,57.9,1.6,174.0,128.0,72.0,0.51,212.0,Running,30.3,2.0,2,Beginner,22.7
27.0,Female,47.1,1.57,185.0,128.0,66.0,0.79,248.0,Aerobics,17.5,1.9,4,Intermediate,19.1
40.0,Male,76.0,1.84,173.0,136.0,65.0,0.91,667.0,Running,16.3,2.3,4,Intermediate,22.5
59.0,Female,83.3,1.63,160.0,113.0,78.0,0.66,373.0,Boxing,40.0,2.3,4,Intermediate,31.3
18.0,Male,67.3,1.76,208.0,170.0,67.0,0.55,373.0,HIIT,17.3,2.3,4,Beginner,21.8
43.0,Female,65.7,1.68,167.0,112.0,74.0,0.82,406.0,Boxing,28.1,2.0,5,Intermediate,23.3
24.0,Male,63.3,1.64,198.0,168.0,74.0,0.53,354.0,HIIT,17.4,2.0,3,Beginner,23.4
30.0,Female,52.2,1.68,194.0,159.0,76.0,0.5,246.0,CrossFit,21.9,1.8,2,Beginner,18.5
63.0,Female,67.8,1.7,160.0,118.0,78.0,0.6,297.0,Strength Training,33.2,2.0,3,Beginner,23.5
32.0,Male,64.8,1.71,192.0,167.0,78.0,0.5,373.0,HIIT,15.7,1.9,3,Beginner,22.2
18.0,Male,77.4,1.79,193.0,150.0,74.0,0.74,487.0,Cycling,20.8,2.3,2,Beginner,24.2
25.0,Male,95.8,1.83,188.0,151.0,76.0,0.5,499.0,CrossFit,23.9,2.9,4,Beginner,28.7
35.0,Male,76.8,1.85,185.0,126.0,69.0,0.68,338.0,Tennis,16.5,2.4,3,Intermediate,22.5
30.0,Female,58.3,1.53,188.0,135.0,70.0,0.7,307.0,Soccer,30.2,2.1,3,Beginner,25.0
18.0,Male,69.7,1.67,192.0,134.0,62.0,0.78,352.0,Running,19.0,2.5,5,Intermediate,25.0
66.5,Male,105.5,1.95,160.0,111.0,75.0,0.81,570.0,Running,26.0,2.7,2,Intermediate,27.7
50.0,Male,77.9,1.72,165.0,126.0,76.0,0.72,447.0,Tennis,21.1,2.4,5,Beginner,26.4
39.0,Female,57.9,1.66,174.0,122.0,63.0,1.11,482.0,Soccer,24.0,2.0,5,Advanced,20.9
33.0,Female,54.0,1.56,179.0,100.0,59.0,1.16,312.0,Yoga,21.6,1.9,5,Professional,22.3
42.0,Female,59.6,1.68,171.0,141.0,63.0,0.69,412.0,Rowing,27.4,2.0,3,Beginner,21.1
43.0,Female,55.6,1.73,171.0,121.0,72.0,0.83,353.0,Running,20.6,1.9,4,Intermediate,18.5
44.0,Male,64.0,1.67,186.0,126.0,65.0,0.89,369.0,Running,17.2,2.3,3,Intermediate,22.9
30.0,Male,90.0,1.77,196.0,167.0,69.0,0.54,561.0,CrossFit,24.9,2.7,4,Beginner,28.6
24.0,Female,64.2,1.68,197.0,164.0,72.0,0.69,413.0,Cycling,24.7,2.3,2,Beginner,22.6
23.0,Female,58.2,1.56,188.0,141.0,71.0,0.71,282.0,Boxing,26.1,2.0,3,Beginner,23.9
41.0,Male,90.0,1.81,181.0,125.0,59.0,0.88,585.0,Aerobics,19.8,2.8,4,Advanced,27.6
31.0,Female,60.1,1.71,195.0,146.0,72.0,0.55,226.0,Soccer,28.0,2.2,3,Beginner,20.6
28.0,Male,102.2,1.9,182.0,136.0,71.0,0.54,436.0,Strength Training,25.0,2.8,3,Beginner,28.4
27.0,Female,58.4,1.6,187.0,137.0,67.0,0.67,266.0,Soccer,30.6,1.9,4,Beginner,22.8
36.0,Female,59.1,1.5,189.0,138.0,76.0,0.76,314.0,Strength Training,32.7,2.1,2,Beginner,26.3
49.0,Female,55.6,1.67,171.0,151.0,85.0,0.54,299.0,CrossFit,27.8,2.1,3,Beginner,19.9
18.0,Male,80.5,1.73,204.0,141.0,64.0,1.03,590.0,Tennis,15.5,2.6,4,Advanced,26.8
51.0,Male,77.3,1.84,164.0,127.0,79.0,0.9,659.0,Running,16.2,2.7,5,Intermediate,22.8
61.0,Female,74.2,1.6,163.0,113.0,59.0,0.86,489.0,Tennis,33.5,2.5,3,Advanced,28.8
37.0,Female,53.5,1.68,179.0,156.0,74.0,0.5,287.0,CrossFit,25.8,1.8,2,Beginner,18.9
19.0,Male,99.6,1.83,205.0,127.0,67.0,0.74,355.0,Yoga,17.3,3.1,4,Intermediate,29.7
48.0,Female,59.9,1.63,170.0,142.0,72.0,0.63,429.0,CrossFit,30.0,2.1,5,Intermediate,22.7
34.0,Non-binary,67.8,1.73,177.0,157.0,74.0,0.5,337.0,CrossFit,23.7,2.0,3,Beginner,22.7
34.0,Non-binary,63.4,1.66,186.0,109.0,72.0,0.8,243.0,Pilates,22.5,2.2,4,Intermediate,23.1
26.0,Non-binary,79.8,1.78,195.0,148.0,67.0,0.57,306.0,Aerobics,23.1,2.3,3,Beginner,25.3
37.0,Male,80.0,1.82,178.0,155.0,78.0,0.83,653.0,Running,22.9,2.5,2,Beginner,24.3
32.0,Male,64.9,1.71,190.0,152.0,66.0,0.6,370.0,CrossFit,15.6,2.1,5,Intermediate,22.3
26.0,Female,56.2,1.54,184.0,155.0,73.0,0.5,283.0,HIIT,27.8,1.9,4,Beginner,23.6
34.0,Male,100.2,1.75,177.0,139.0,80.0,0.61,488.0,Running,27.6,2.7,5,Beginner,32.8
30.0,Male,85.9,1.7,192.0,117.0,68.0,0.87,343.0,Pilates,25.5,2.4,5,Intermediate,29.8
23.0,Male,71.4,1.63,201.0,147.0,77.0,0.75,519.0,Swimming,18.7,2.3,5,Intermediate,26.9
29.0,Male,87.2,1.8,199.0,147.0,72.0,0.78,670.0,Rowing,17.9,2.8,3,Intermediate,27.1
19.0,Male,65.9,1.67,207.0,168.0,69.0,0.7,494.0,CrossFit,14.0,2.4,4,Advanced,23.7
30.0,Male,59.3,1.79,194.0,151.0,69.0,0.57,250.0,Strength Training,12.3,1.9,2,Beginner,18.6
37.0,Female,83.0,1.63,182.0,151.0,82.0,0.53,423.0,Rowing,40.0,2.6,5,Beginner,31.2
46.0,Male,65.8,1.72,169.0,104.0,57.0,0.83,276.0,Pilates,17.8,2.3,5,Advanced,22.2
27.0,Male,71.3,1.7,195.0,139.0,74.0,0.5,256.0,Running,22.9,2.0,3,Beginner,24.6
38.0,Female,58.1,1.57,188.0,117.0,72.0,0.67,200.0,Pilates,30.8,1.9,3,Beginner,23.6
28.0,Male,82.3,1.79,194.0,147.0,72.0,0.72,541.0,Rowing,19.1,2.4,2,Beginner,25.6
33.0,Male,103.2,1.78,197.0,159.0,73.0,0.64,686.0,HIIT,29.1,2.7,3,Intermediate,32.4
43.0,Male,96.6,1.78,181.0,132.0,64.0,0.65,598.0,Rowing,27.0,2.8,4,Intermediate,30.6
48.0,Female,66.5,1.53,173.0,143.0,79.0,0.59,343.0,Swimming,37.5,2.0,3,Beginner,28.3
31.0,Female,53.8,1.71,186.0,120.0,55.0,1.08,372.0,Running,15.4,1.9,5,Professional,18.5
37.0,Male,94.0,1.77,193.0,149.0,86.0,0.55,354.0,Running,25.2,2.5,2,Beginner,29.9
28.0,Female,77.3,1.63,188.0,143.0,78.0,0.6,338.0,Running,36.4,2.5,3,Beginner,29.2
24.0,Female,89.3,1.62,203.0,153.0,70.0,0.61,373.0,Aerobics,40.0,2.5,5,Beginner,34.0
18.0,Female,88.6,1.74,208.0,123.0,60.0,0.75,315.0,Walking,31.0,2.4,4,Intermediate,29.1
26.0,Female,86.4,1.76,196.0,150.0,71.0,0.58,358.0,Soccer,36.5,2.6,3,Beginner,28.0
37.0,Female,71.7,1.67,175.0,109.0,68.0,0.78,262.0,Yoga,32.0,2.1,4,Intermediate,25.7
20.0,Male,87.1,1.74,205.0,128.0,77.0,0.5,211.0,Yoga,24.5,2.3,4,Beginner,28.9
18.0,Female,88.1,1.73,204.0,157.0,69.0,0.68,644.0,CrossFit,34.8,2.7,2,Intermediate,29.3
48.0,Male,68.6,1.88,169.0,148.0,74.0,0.65,473.0,Running,15.0,2.3,4,Beginner,19.4
45.0,Male,77.3,1.84,172.0,136.0,68.0,0.76,495.0,Cycling,21.1,2.6,3,Beginner,22.8
33.0,Female,72.9,1.61,190.0,154.0,70.0,0.97,735.0,Running,29.2,2.3,5,Intermediate,28.2
18.0,Non-binary,49.2,1.63,208.0,136.0,64.0,0.8,258.0,Boxing,10.0,1.8,4,Advanced,18.5
30.0,Male,73.5,1.7,184.0,123.0,66.0,0.7,340.0,Boxing,16.3,2.1,5,Intermediate,25.4
27.0,Female,79.5,1.68,188.0,143.0,83.0,0.5,307.0,Running,33.9,2.6,3,Beginner,28.1
31.0,Female,58.5,1.65,196.0,140.0,75.0,0.59,230.0,Strength Training,22.8,1.9,2,Beginner,21.4
39.0,Male,66.8,1.61,186.0,143.0,63.0,0.59,430.0,HIIT,20.1,2.2,3,Intermediate,25.7
34.0,Male,96.5,1.98,177.0,120.0,83.0,0.57,258.0,Yoga,19.8,3.0,2,Beginner,24.6
18.0,Male,69.6,1.6,192.0,114.0,57.0,0.67,236.0,Walking,18.3,2.2,4,Intermediate,27.3
50.0,Male,80.2,1.78,174.0,125.0,65.0,0.95,592.0,Running,20.0,2.6,4,Advanced,25.3
38.0,Female,63.2,1.68,187.0,140.0,65.0,1.16,691.0,Rowing,25.7,2.3,4,Advanced,22.5
54.0,Male,59.3,1.67,171.0,131.0,76.0,0.69,441.0,CrossFit,15.8,2.2,4,Intermediate,21.3
20.0,Male,84.4,1.76,195.0,113.0,78.0,0.78,304.0,Yoga,21.0,2.6,4,Intermediate,27.3
33.0,Female,89.5,1.69,195.0,170.0,80.0,0.5,509.0,HIIT,37.8,2.5,4,Beginner,31.5
25.0,Female,83.7,1.66,190.0,132.0,58.0,0.88,556.0,Strength Training,31.3,2.3,3,Advanced,30.3
43.0,Female,83.7,1.85,168.0,113.0,73.0,0.79,450.0,Aerobics,30.9,2.8,3,Intermediate,24.5
19.0,Non-binary,58.3,1.55,197.0,145.0,74.0,0.66,301.0,Tennis,24.4,1.9,5,Beginner,24.1
49.0,Male,97.0,1.84,179.0,105.0,75.0,0.67,372.0,Walking,23.3,2.7,3,Intermediate,28.6
21.0,Female,82.5,1.67,205.0,122.0,68.0,0.73,304.0,Pilates,34.8,2.6,4,Intermediate,29.8
42.0,Female,63.3,1.68,183.0,127.0,68.0,0.87,405.0,Boxing,27.5,2.1,3,Intermediate,22.5
27.0,Male,83.2,1.74,190.0,130.0,61.0,0.68,393.0,Boxing,22.4,2.7,4,Intermediate,27.4
24.0,Male,80.9,1.79,205.0,157.0,68.0,0.71,461.0,Strength Training,20.9,2.5,3,Beginner,25.2
18.0,Male,97.3,1.78,200.0,125.0,69.0,0.53,257.0,Walking,27.8,2.5,4,Beginner,30.7
48.0,Female,70.9,1.74,163.0,116.0,79.0,0.5,247.0,Aerobics,27.9,2.2,4,Beginner,23.4
21.0,Male,63.1,1.73,206.0,147.0,70.0,0.71,316.0,Running,15.6,2.0,3,Beginner,21.0
22.0,Male,100.4,1.85,200.0,158.0,78.0,0.58,525.0,Swimming,26.9,2.7,4,Beginner,29.2
44.0,Female,48.4,1.62,185.0,124.0,73.0,0.73,256.0,Running,21.5,1.7,2,Intermediate,18.5
18.0,Male,69.7,1.82,205.0,128.0,72.0,0.67,209.0,Yoga,9.9,2.0,3,Beginner,21.1
51.0,Male,80.7,1.72,161.0,110.0,66.0,0.8,458.0,Running,22.7,2.3,5,Advanced,27.2
19.0,Female,63.8,1.67,199.0,162.0,71.0,0.61,396.0,Swimming,27.1,2.0,2,Beginner,22.8
38.0,Male,101.5,1.81,173.0,133.0,72.0,0.5,352.0,Aerobics,27.5,3.0,3,Beginner,31.1
49.0,Female,72.0,1.62,173.0,118.0,71.0,0.66,305.0,Tennis,36.8,2.1,3,Intermediate,27.5
28.0,Male,80.3,1.69,185.0,115.0,69.0,0.59,249.0,Yoga,25.6,2.3,2,Beginner,28.2
37.0,Male,76.8,1.81,184.0,161.0,61.0,0.62,477.0,Running,17.4,2.5,3,Beginner,23.6
65.0,Male,76.6,1.84,160.0,108.0,87.0,0.58,207.0,Yoga,21.4,2.1,3,Beginner,22.5
38.0,Male,86.0,1.71,184.0,130.0,69.0,1.02,611.0,Aerobics,20.3,2.8,4,Advanced,29.5
25.0,Male,69.9,1.68,204.0,154.0,70.0,0.56,292.0,Boxing,19.6,2.3,2,Beginner,24.8
25.0,Male,75.2,1.78,197.0,132.0,70.0,0.76,392.0,Tennis,16.9,2.3,4,Intermediate,23.6
23.0,Female,59.3,1.61,199.0,147.0,72.0,0.5,203.0,Boxing,27.5,2.0,3,Beginner,22.9
62.0,Female,77.9,1.68,160.0,122.0,74.0,0.59,335.0,Tennis,37.3,2.5,3,Beginner,27.5
38.0,Female,64.1,1.58,190.0,126.0,75.0,0.7,205.0,Pilates,30.6,1.9,5,Beginner,25.6
30.0,Female,68.0,1.61,195.0,136.0,53.5,0.85,440.0,Tennis,29.0,2.4,3,Intermediate,26.3
31.0,Male,49.4,1.61,183.0,143.0,77.0,0.72,347.0,Cycling,13.9,1.8,2,Beginner,19.0
25.0,Female,58.1,1.72,197.0,150.0,79.0,0.61,283.0,Boxing,21.3,1.9,5,Beginner,19.6
41.0,Female,53.0,1.69,179.0,140.0,71.0,0.95,475.0,Cycling,20.3,1.9,4,Intermediate,18.5
33.0,Male,78.3,1.73,196.0,122.0,68.0,0.56,232.0,Pilates,23.3,2.1,2,Beginner,26.3
24.0,Female,82.6,1.72,200.0,136.0,76.0,0.81,510.0,Soccer,31.6,2.5,5,Intermediate,28.0
26.0,Female,45.5,1.57,190.0,134.0,68.0,0.99,299.0,Boxing,18.7,2.0,3,Advanced,18.5
31.0,Female,57.5,1.59,182.0,110.0,60.0,0.99,283.0,Pilates,21.6,2.2,3,Advanced,22.7
19.0,Male,95.4,1.8,201.0,161.0,68.0,0.5,448.0,Rowing,25.7,2.4,4,Beginner,29.5
51.0,Male,84.2,1.81,167.0,136.0,62.0,1.02,378.0,Yoga,16.2,2.7,5,Professional,25.8
21.0,Female,67.4,1.6,194.0,135.0,68.0,0.74,359.0,Tennis,26.6,2.1,2,Intermediate,26.4
55.0,Male,63.5,1.78,170.0,120.0,78.0,0.82,343.0,Tennis,19.0,2.3,4,Intermediate,20.0
35.0,Female,65.7,1.66,194.0,131.0,75.0,0.87,411.0,Boxing,27.0,2.1,3,Intermediate,23.9
31.0,Male,86.4,1.81,198.0,143.0,69.0,0.72,416.0,Aerobics,17.0,2.5,3,Intermediate,26.5
22.0,Male,70.2,1.84,194.0,138.0,58.0,0.85,468.0,Tennis,11.7,2.2,3,Intermediate,20.7
25.0,Female,74.2,1.62,186.0,129.0,65.0,0.82,414.0,Running,34.9,2.3,3,Intermediate,28.3
39.0,Male,72.4,1.64,172.0,105.0,75.0,0.88,283.0,Pilates,20.0,2.3,5,Intermediate,26.9
66.0,Male,78.7,1.82,160.0,100.0,64.0,1.12,395.0,Pilates,19.2,2.6,4,Advanced,23.6
33.0,Male,60.2,1.59,179.0,143.0,71.0,1.01,679.0,Running,16.1,2.4,4,Intermediate,23.7
18.0,Female,78.4,1.71,209.0,149.0,78.0,0.55,326.0,Soccer,32.9,2.4,4,Beginner,26.9
50.0,Female,72.8,1.65,164.0,105.0,79.0,0.53,204.0,Yoga,33.7,2.1,2,Beginner,26.6
46.0,Male,58.5,1.78,181.0,122.0,65.0,0.87,360.0,Tennis,10.5,2.2,4,Advanced,18.5
28.0,Female,52.2,1.63,191.0,155.0,72.0,0.5,276.0,HIIT,23.0,1.9,3,Beginner,19.6
59.0,Male,87.0,1.79,160.0,108.0,84.0,0.58,231.0,Pilates,27.6,2.7,3,Beginner,27.0
33.0,Male,71.1,1.89,196.0,152.0,63.0,1.08,815.125,Running,15.7,2.6,4,Intermediate,19.9
42.0,Male,62.5,1.71,180.0,135.0,70.0,0.52,231.0,Boxing,17.2,2.2,3,Beginner,21.4
18.0,Female,55.4,1.55,199.0,161.0,75.0,0.5,237.0,Rowing,24.4,1.9,5,Beginner,23.1
48.0,Female,67.7,1.75,180.0,120.0,65.0,1.13,534.0,Boxing,24.6,2.3,4,Advanced,22.2
46.0,Male,59.5,1.79,175.0,130.0,74.0,0.61,260.0,Tennis,16.1,1.9,2,Beginner,18.5
30.0,Male,83.0,1.77,182.0,151.0,73.0,0.5,398.0,CrossFit,20.0,2.6,2,Intermediate,26.5
37.0,Male,95.8,1.81,187.0,142.0,77.0,0.7,652.0,HIIT,22.7,2.8,3,Intermediate,29.1
49.0,Male,53.5,1.7,179.0,144.0,75.0,0.75,397.0,Running,14.5,2.1,5,Beginner,18.5
39.0,Male,67.6,1.8,182.0,111.0,69.0,0.75,261.0,Pilates,17.6,2.0,3,Intermediate,20.9
51.0,Female,64.2,1.67,161.0,108.0,74.0,1.05,495.0,Strength Training,28.0,2.1,4,Advanced,22.9
26.0,Female,67.3,1.72,196.0,118.0,75.0,0.84,252.0,Pilates,25.1,2.0,3,Intermediate,22.6
28.0,Female,66.5,1.5,196.0,170.0,76.0,0.57,426.0,HIIT,38.4,2.1,5,Beginner,29.4
26.0,Male,82.3,1.76,203.0,170.0,75.0,0.5,451.0,CrossFit,22.1,2.2,3,Beginner,26.7
20.0,Male,58.5,1.78,206.0,160.0,67.0,1.06,645.0,Running,13.6,2.0,4,Intermediate,18.5
31.0,Male,76.4,1.84,192.0,126.0,76.0,0.64,220.0,Yoga,20.8,2.2,3,Beginner,22.7
33.0,Non-binary,76.0,1.65,177.0,115.0,71.0,0.64,255.0,Yoga,30.1,2.4,3,Beginner,27.8
52.0,Male,79.7,1.88,173.0,133.0,69.0,0.58,337.0,Boxing,19.0,2.4,3,Beginner,22.4
23.0,Male,74.9,1.83,205.0,150.0,77.0,0.83,469.0,Soccer,15.7,2.2,4,Intermediate,22.4
42.0,Female,67.6,1.66,173.0,145.0,76.0,0.5,355.0,CrossFit,33.7,2.2,4,Beginner,24.6
41.0,Female,55.4,1.67,188.0,138.0,78.0,0.6,256.0,Running,26.1,2.0,3,Beginner,19.9
18.0,Male,82.3,1.76,209.0,154.0,76.0,0.5,299.0,Boxing,22.2,2.2,4,Beginner,26.6
25.0,Male,99.0,1.91,204.0,138.0,60.0,0.87,640.0,Boxing,19.7,2.8,4,Advanced,27.1
35.0,Female,70.9,1.67,188.0,115.0,66.0,1.13,427.0,Walking,23.8,2.6,4,Advanced,25.5
48.0,Female,63.9,1.64,171.0,121.0,70.0,0.74,357.0,Tennis,29.2,2.1,4,Intermediate,23.7
46.0,Male,81.1,1.67,176.0,141.0,78.0,0.78,625.0,Swimming,25.0,2.5,3,Beginner,29.0
31.0,Male,76.9,1.71,182.0,135.0,78.0,0.56,331.0,Strength Training,22.3,2.4,5,Beginner,26.3
49.0,Female,74.4,1.66,176.0,125.0,62.0,0.76,436.0,Strength Training,37.8,2.1,4,Beginner,27.1
18.0,Female,83.3,1.64,195.0,147.0,74.0,0.94,723.0,Rowing,28.2,2.7,4,Advanced,31.0
24.0,Female,67.2,1.61,203.0,116.0,60.0,0.86,270.0,Pilates,33.4,2.3,3,Intermediate,25.9
32.0,Female,85.9,1.74,185.0,109.0,64.0,0.82,345.0,Yoga,30.6,2.5,4,Intermediate,28.4
28.0,Male,82.4,1.75,184.0,128.0,67.0,0.68,427.0,Soccer,23.3,2.4,3,Intermediate,26.9
45.0,Female,81.4,1.57,184.0,133.0,71.0,0.64,344.0,Boxing,40.0,2.3,3,Beginner,33.0
55.0,Male,94.6,1.86,170.0,130.0,81.0,0.6,391.0,Tennis,27.7,2.6,5,Beginner,27.3
28.0,Female,67.1,1.55,189.0,125.0,78.0,0.54,200.0,Walking,34.2,2.2,4,Beginner,28.0
53.0,Male,100.7,1.87,166.0,111.0,68.0,0.88,618.0,Boxing,25.3,3.2,5,Advanced,28.9
36.0,Female,58.2,1.62,185.0,138.0,79.0,0.56,239.0,Tennis,23.9,2.1,3,Beginner,22.2
18.0,Female,73.1,1.61,206.0,136.0,81.0,0.7,236.0,Yoga,32.6,2.4,3,Beginner,28.1
39.0,Female,51.1,1.64,188.0,137.0,74.0,0.76,293.0,Strength Training,24.7,1.8,5,Beginner,19.0
33.0,Female,56.5,1.64,186.0,129.0,73.0,0.64,254.0,Running,27.6,2.0,5,Intermediate,21.0
30.0,Female,54.7,1.66,185.0,127.0,72.0,0.74,298.0,Strength Training,25.8,2.0,3,Intermediate,19.9
44.0,Female,53.0,1.63,182.0,113.0,66.0,0.56,200.0,Yoga,27.1,1.8,4,Beginner,19.8
58.0,Male,70.1,1.76,160.0,100.0,78.0,0.5,200.0,Yoga,18.3,2.2,5,Beginner,22.6
25.0,Male,66.3,1.85,189.0,154.0,72.0,0.59,370.0,CrossFit,11.3,2.0,5,Intermediate,19.3
37.0,Female,67.9,1.73,179.0,146.0,76.0,0.5,332.0,CrossFit,29.9,2.3,2,Beginner,22.8
